Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,9.600000,9.740000,9.550000,9.570000,6.875041,825970
2002-07-02,9.600000,9.670000,9.450000,9.500000,6.824755,653405
2002-07-03,9.460000,9.570000,9.460000,9.510000,6.831939,305880
2002-07-04,9.560000,9.900000,9.520000,9.720000,6.982801,2413155
2002-07-05,9.900000,9.950000,9.600000,9.850000,7.076192,3460955
2002-07-08,9.900000,10.040000,9.800000,9.860000,7.083375,2791970
2002-07-09,9.900000,9.920000,9.700000,9.770000,7.018721,716330
2002-07-10,9.760000,9.880000,9.650000,9.830000,7.061824,1163015
2002-07-11,9.700000,9.900000,9.300000,9.360000,6.724176,1434245
2002-07-12,9.450000,9.600000,9.420000,9.510000,6.831939,673410
2002-07-15,11.220000,11.220000,9.360000,9.770000,7.018721,1958485
2002-07-16,9.600000,9.780000,9.420000,9.500000,6.824755,1115835
2002-07-17,9.580000,9.580000,9.250000,9.330000,6.702627,468885
2002-07-18,9.410000,9.500000,9.280000,9.380000,6.738548,271340
2002-07-19,8.600000,9.400000,8.600000,9.300000,6.681076,317560
2002-07-22,9.200000,9.200000,8.920000,8.960000,6.436821,508510
2002-07-23,9.240000,9.240000,8.820000,9.120000,6.551764,321750
2002-07-24,9.020000,9.200000,9.000000,9.140000,6.566133,614330
2002-07-25,9.700000,9.700000,9.050000,9.120000,6.551764,417915
2002-07-26,9.090000,9.200000,8.820000,8.910000,6.400900,842775
2002-07-29,9.000000,9.180000,8.620000,8.700000,6.250038,972715
2002-07-30,8.950000,8.980000,8.700000,8.740000,6.278774,604080
2002-07-31,8.740000,8.740000,8.530000,8.580000,6.163831,752895
2002-08-01,8.700000,8.860000,8.640000,8.800000,6.321878,776880
2002-08-02,10.120000,10.120000,8.200000,9.150000,6.573315,978845
2002-08-05,9.400000,9.430000,9.040000,9.320000,6.695443,1663065
2002-08-06,9.200000,9.220000,9.060000,9.110000,6.544577,1362320
2002-08-07,9.360000,9.360000,8.910000,8.950000,6.429636,676635
2002-08-08,8.890000,9.040000,8.860000,8.960000,6.436821,920445
2002-08-09,9.020000,9.020000,8.820000,8.870000,6.372165,344730
2002-08-12,7.450000,9.070000,7.450000,8.910000,6.400900,656355
2002-08-13,9.040000,9.040000,8.860000,8.890000,6.386532,629060
2002-08-14,8.900000,9.010000,8.770000,9.000000,6.465558,863860
2002-08-15,9.000000,9.000000,9.000000,9.000000,6.465558,0
2002-08-16,8.920000,9.160000,8.910000,9.110000,6.544577,772460
2002-08-19,9.240000,9.260000,9.170000,9.240000,6.637970,1502830
2002-08-20,9.200000,9.400000,9.200000,9.370000,6.731362,1094565
2002-08-21,9.450000,9.450000,9.210000,9.270000,6.659523,755185
2002-08-22,9.250000,9.250000,9.080000,9.150000,6.573315,377410
2002-08-23,9.100000,9.390000,9.100000,9.350000,6.716996,1216535
2002-08-26,9.300000,9.380000,9.250000,9.290000,6.673891,397415
2002-08-27,9.220000,9.250000,9.150000,9.180000,6.594868,341990
2002-08-28,9.070000,9.200000,9.040000,9.060000,6.508660,306935
2002-08-29,9.200000,9.200000,9.010000,9.030000,6.487107,181690
2002-08-30,9.400000,9.400000,8.960000,9.130000,6.558949,642855
2002-09-02,9.320000,9.320000,9.040000,9.100000,6.537396,725025
2002-09-03,9.100000,9.100000,8.920000,8.940000,6.422451,340035
2002-09-04,8.860000,8.960000,8.840000,8.910000,6.400900,196310
2002-09-05,8.900000,8.970000,8.850000,8.860000,6.364980,118600
2002-09-06,8.880000,8.940000,8.800000,8.820000,6.336244,301385
2002-09-09,8.800000,8.820000,8.700000,8.700000,6.250038,404010
2002-09-10,8.700000,8.700000,8.700000,8.700000,6.250038,0
2002-09-11,9.100000,9.120000,8.760000,8.850000,6.357797,663800
2002-09-12,8.820000,8.980000,8.800000,8.850000,6.357797,290880
2002-09-13,8.820000,9.100000,8.820000,8.970000,6.444005,1437160
2002-09-16,9.000000,9.220000,8.950000,9.070000,6.515843,2434590
2002-09-17,8.910000,9.050000,8.910000,8.930000,6.415271,312800
2002-09-18,8.990000,8.990000,8.820000,8.840000,6.350615,259615
